 covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Cluster_3,1.186272428747415,3.274851186268253,0.1384286803701239,0.9149572007945652,1.4575876567002646,2.4966683941946863,4.295584594710214,0.0,8.56955672462973,1.0388414030283484e-17,56.41780219419364
Cluster_4,0.7728105564204744,2.1658449369357853,0.09574345724644455,0.5851568284620926,0.9604642843788561,1.7952725133908531,2.612909324830236,0.0,8.071680077639694,6.933736150420455e-16,50.357216579511444
Cluster_12,0.5943406796030779,1.8118359706566478,0.10073810175022438,0.3968976283017067,0.7917837309044491,1.4872036746922337,2.207330199910015,0.0,5.8998598273840726,3.638105220354387e-09,28.03416558513422
