covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Cluster_0,0.6734650969488968,1.9610206881388492,0.09345436871131568,0.49029790007679114,0.8566322938210025,1.632802559519351,2.355215648633352,0.0,7.206352214836073,5.747063319347538e-13,40.66224028911174
Cluster_3,0.3646429612330622,1.439999780609037,0.08618615480321576,0.19572120185276554,0.5335647206133589,1.216187787162004,1.704999334841913,0.0,4.230876317265018,2.3278264892627056e-05,15.390656947294245
Cluster_5,0.42916063183678793,1.535967739901747,0.1019635561959752,0.22931573395705065,0.6290055297165252,1.2577390872646916,1.8757442794829726,0.0,4.208961003791746,2.5654765644654565e-05,15.250413627813698
Cluster_6,0.1304824652788534,1.139377961043572,0.08352794238774172,-0.03322929350385695,0.29419422406156376,0.9673167347150603,1.3420445356961688,0.0,1.5621415007824084,0.11825465807615569,3.080031082138646
