covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,#NAME?
Cluster_0,0.5997705153657947,1.8217007000997538,0.09463699975537647,0.41428540424033095,0.7852556264912585,1.5132889643446121,2.1929674496643,0,6.337590127710286,2.333866912259609e-10,31.996558654536788
Cluster_2,0.2555476027715733,1.2911684747529972,0.09188383166422803,0.07545860194814533,0.4356366035950012,1.0783785840214366,1.5459469011143134,0,2.7812031577592817,0.0054157833819383746,7.528614248860899
Cluster_4,0.4825572287480885,1.6202123627140448,0.08765114185717314,0.3107641475042179,0.6543503099919591,1.3644673701982997,1.9238921777293367,0,5.505430032325326,3.682682027152539e-08,24.694667922723028
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
[½á¹û] ²âÊÔ¼¯ C-index: 0.6833,,,,,,,,,,,
